,game_id,attendance,venue_id,venue_time_zone,home_time_zone,away_time_zone,home_points,away_points,home_rank,away_rank,home_field_goal_att,away_field_goal_att,home_field_goal_made,away_field_goal_made,home_field_goal_pct,away_field_goal_pct,home_3pt_att,away_3pt_att,home_3pt_made,away_3pt_made,home_3pt_pct,away_3pt_pct,home_free_throw_att,away_free_throw_att,home_free_throw_made,away_free_throw_made,home_free_throw_pct,away_free_throw_pct,home_rebounds,away_rebounds,home_assists,away_assists,home_steals,away_steals,home_blocks,away_blocks,home_turnovers,away_turnovers,home_fouls,away_fouls
0,2947250f-3780-4724-8540-72d8a5fbee14,10284.0,6caffcfc-78c8-45ce-a590-a9cb9550989a,US/Central,US/Central,US/Central,117,53,5.0,0.0,72.0,49.0,37.0,16.0,51.4,32.7,34.0,13.0,14.0,3.0,41.2,23.1,43.0,29.0,29.0,18.0,67.4,62.1,53.0,29.0,27.0,13.0,12.0,7.0,7.0,1.0,9.0,25.0,22.0,26.0
1,c606073a-b86e-474f-b062-7e5259da4264,7047.0,12d526ed-1fbf-4caf-bdf4-f4fceeb95d31,US/Central,US/Central,,79,52,0.0,0.0,62.0,59.0,32.0,20.0,51.6,33.9,18.0,17.0,5.0,3.0,27.8,17.6,15.0,12.0,10.0,9.0,66.7,75.0,46.0,27.0,13.0,8.0,7.0,9.0,3.0,1.0,17.0,17.0,14.0,17.0
2,6345ccda-e630-4f8f-b109-52cdbab0bd46,175.0,9631f0ff-7dbd-4c3f-8b66-d1e5fe765df4,,,,94,79,0.0,0.0,73.0,55.0,36.0,29.0,49.3,52.7,17.0,8.0,2.0,3.0,11.8,37.5,26.0,27.0,20.0,18.0,76.9,66.7,39.0,25.0,8.0,3.0,13.0,7.0,4.0,5.0,11.0,20.0,22.0,16.0
3,67544a5f-8ce5-4d31-a29b-190e82ce424e,3380.0,9fe460a5-6d1e-4e27-a152-f867e2d6d099,US/Pacific,US/Pacific,US/Pacific,88,78,0.0,0.0,48.0,67.0,29.0,28.0,60.4,41.8,22.0,30.0,8.0,11.0,36.4,36.7,34.0,14.0,22.0,11.0,64.7,78.6,36.0,31.0,18.0,11.0,5.0,7.0,3.0,2.0,16.0,12.0,15.0,24.0
4,bc1bde7e-f5ee-4694-bccc-53ea970443c5,3148.0,c6769efa-ff26-416b-9455-5a7daf3c9439,US/Eastern,US/Eastern,,123,38,0.0,0.0,75.0,57.0,46.0,14.0,61.3,24.6,22.0,28.0,14.0,8.0,63.6,28.6,19.0,6.0,17.0,2.0,89.5,33.3,49.0,26.0,24.0,5.0,16.0,6.0,5.0,5.0,8.0,28.0,10.0,16.0
5,30cb9f7d-d739-48ca-911a-380b2bac9e89,0.0,d7a141fb-93fd-4262-b20a-0fe87cbc1265,US/Eastern,US/Eastern,US/Eastern,63,68,0.0,0.0,66.0,58.0,20.0,24.0,30.3,41.4,20.0,26.0,7.0,8.0,35.0,30.8,24.0,23.0,16.0,12.0,66.7,52.2,43.0,36.0,8.0,9.0,6.0,9.0,4.0,2.0,13.0,14.0,21.0,16.0
6,d97e6da2-ff5d-4f1e-972f-76d2a268cbd9,1102.0,695d3bc9-f1db-4a96-9050-5a90073bbca0,US/Eastern,US/Eastern,,93,60,0.0,0.0,80.0,66.0,35.0,21.0,43.8,31.8,31.0,28.0,9.0,7.0,29.0,25.0,21.0,16.0,14.0,11.0,66.7,68.8,56.0,39.0,22.0,9.0,8.0,6.0,6.0,2.0,8.0,16.0,13.0,18.0
7,f8d8016c-868a-4676-8c7d-bac0e7bbd41e,1065.0,5fa7b2f4-dd50-43b5-a91f-f234ed6a82a3,US/Eastern,US/Eastern,,92,27,0.0,0.0,57.0,44.0,33.0,8.0,57.9,18.2,26.0,21.0,10.0,3.0,38.5,14.3,24.0,13.0,16.0,8.0,66.7,61.5,35.0,32.0,18.0,3.0,17.0,5.0,1.0,1.0,10.0,30.0,13.0,21.0
8,0c447928-def5-4903-8b14-de0238381e1a,0.0,0a244752-a828-4d77-8abb-31c4ed40ad1b,US/Central,US/Central,,102,46,0.0,0.0,62.0,55.0,38.0,20.0,61.3,36.4,17.0,20.0,8.0,6.0,47.1,30.0,22.0,2.0,18.0,0.0,81.8,0.0,44.0,20.0,26.0,14.0,13.0,3.0,9.0,0.0,9.0,18.0,13.0,19.0
9,4825bd35-d274-445f-a855-9fb72f73cb9f,2638.0,70570fc0-9b6f-41e8-9ad1-2c6cb70af493,US/Eastern,US/Eastern,US/Eastern,82,59,0.0,0.0,56.0,54.0,28.0,22.0,50.0,40.7,29.0,22.0,10.0,3.0,34.5,13.6,22.0,17.0,16.0,12.0,72.7,70.6,38.0,28.0,14.0,6.0,9.0,7.0,3.0,0.0,11.0,12.0,17.0,20.0
